Id;Titulo;Consola;America;Europa;Japon;Otro
3540;The Urbz: Sims in the City;GameBoy Color;1,88;0,06;2,51;3,02
3541;Bicycle Casino 2005;XBox;2,05;1,69;2,33;0,15
3542;Ford Racing 2;XBox;3,2;1,98;2,16;0,55
3543;Conker: Live And Reloaded;XBox;1,93;2,96;1,46;0,1
3544;Yu Yu Hakusho Ghost Files: Spirit Detective;GameBoy Advance;1,29;1,39;2,34;1,99
3545;Alias;XBox;2,4;1,83;2,85;0,18
3546;Shenmue II;Sega Dreamcast;0,89;0,69;1,61;0,91
3547;Momotarou Dentetsu V;PlayStation;2,39;2,52;0,82;2,08
3548;Excitebike 64;Nintendo 64;3,17;2,11;2,86;3,92
3549;God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4;PlayStation 4;1,8;1,04;0,58;2,5
3550;Super Dodge Ball Advance;GameBoy Advance;1,88;2,12;1,82;3,04
3551;Sesame Street: Cookie's Counting Carnival;Nintendo Wii;1,16;2,53;1,01;2,66
3552;Nagano Winter Olympics 98;Nintendo 64;2,29;3,82;3,24;3,44
3553;X-Men: The Official Game;GameBoy Color;1,51;0,11;2,03;2,58
3554;WipEout 64;Nintendo 64;2,71;2,62;3,06;2,67
3555;Metal Gear Solid V: Ground Zeroes;XBox One;0,5;1,63;2,37;2,03
3556;International Superstar Soccer 64;Nintendo 64;3,73;3,49;3,53;2,31
3557;Kangaroo;Atari 2600;2,17;1,22;0,48;0,38
3558;Captain Tsubasa J: The Way to World Youth;Super Nintendo;1,69;1,68;3,46;1,81
3559;Daibakushou: Jinsei Gekijou;Super Nintendo;1,5;1,68;3,71;1,39
3560;The Clique: Diss and Make Up;Nintendo DS;0,33;2,81;2,96;2,16
3561;The Legend of Spyro: Dawn of the Dragon;Nintendo Wii;2,61;2,7;1,27;2,57
3562;Call of Duty: Black Ops 3;PlayStation 4;0,77;2,07;2,31;2,59
3563;The Dukes of Hazzard: Return of the General Lee;XBox;2;2,65;1,14;0,26
3564;My English Coach: Para Hispanoparlantes;Nintendo DS;0,3;2,04;1,8;2,34
3565;Grand Prix;Atari 2600;1,87;0,89;0,94;0,65
3566;Professional Farmer 2016;PlayStation 4;1,45;1,53;1,57;2,11
3567;I-Ninja;GameBoy Color;2,18;0,05;2,06;1,89
3568;Princess Maker 2;Sega Saturn;1,98;1,66;2,36;0,23
3569;Halo: Combat Evolved;XBox;2,69;2,13;2,13;0,25
3570;Carmen Sandiego: The Secret of the Stolen Drums;GameBoy Color;1,73;0,59;1,78;2,1
3571;Over the Hedge;GameBoy Color;2,67;0,03;2,1;2,02
3572;The Space Bar;Sega Saturn;1,34;1,21;1,88;0,46
3573;NFL 2K1;Sega Dreamcast;0,78;0,83;1,16;0,97
3574;F1 Race Stars;XBox 360;2,81;2,14;1,72;2,93
3575;NARC;XBox;1,67;1,54;1,74;0,56
3576;Rugby 06;XBox;2,31;2,35;2,32;0,58
3577;Pocket Fighter;Sega Saturn;2,03;1,75;2,1;0,08
3578;Over G Fighters;XBox 360;2,28;2,23;2,56;2,86
3579;Scrabble (Others sales);Nintendo DS;0,22;1,83;2,47;1,89
3580;Viva Pinata;XBox 360;2,66;2,29;2,7;2,93
3581;Zen-Nippon GT Senshuken;Super Nintendo;2,82;1,19;2,66;1,06
3582;Sega Superstars Tennis;XBox 360;2,22;2,51;2,47;2,85
3583;NBA Live 2005;GameBoy Color;2,17;0,07;2,48;1,72
3584;Koihime Enbu;PlayStation 4;2,12;1,92;1,26;2,44
3585;Flying Dragon;Nintendo 64;4,01;2,86;3,21;3,71
3586;Blues Brothers 2000;Nintendo 64;2,91;3,89;3,12;4,22
3587;Monster High: Ghoul Spirit;Nintendo DS;0,07;1,78;2,08;1,79
3588;Outlaw Volleyball;XBox;2,25;1,51;1,81;0,18
3589;Super Fire ProWrestling;Super Nintendo;1,91;1,37;3,43;1,81
3590;Shrek SuperSlam;XBox;2,57;1,99;2,09;0,07
3591;Fighter Maker;PlayStation;3,45;1,93;0,54;3,11
3592;The Walking Dead: Season One;PlayStation 4;1,78;2,21;1,38;2,15
3593;MLB SlugFest 20-04;GameBoy Color;2,16;0,15;1,13;2,55
3594;Mercenaries 2: World in Flames;XBox 360;1,6;2,09;2,26;2,49
3595;Rampage;Atari 2600;1,47;0,98;0,74;0,87
3596;Planet 51;Nintendo Wii;2,34;3,07;3,2;2,33
3597;Tony Hawk's American Wasteland;XBox;1,5;3,14;2,75;0,57
3598;The Polar Express;GameBoy Color;2,98;0,04;1,91;1,96
3599;Covert Ops: Nuclear Dawn;PlayStation;1,8;2,45;0,15;1,84
3600;Pro Yakyuu Team o Tsukurou!;Sega Saturn;2,19;1,58;2,08;0,1
3601;Incredible Crisis;PlayStation;2,21;1,63;0,06;2,76
3602;Akai Katana Shin;XBox 360;1,94;1,92;1,17;1,63
3603;Double Pack: Finding Nemo / The Incredibles;XBox;2,45;1,7;2,43;0,32
3604;Sotsugyou II: Neo Generation;PlayStation;2,53;2,31;0,44;3,14
3605;Bratz Kidz;Nintendo Wii;2,28;3,17;1,79;1,97
3606;Pony Luv;Nintendo DS;0,36;1,41;1,79;2,75
3607;Just Dance Wii 2;Nintendo Wii;2,33;2,69;1,72;2,06
3608;Pocket Monsters Stadium;Nintendo 64;3;2,76;3,27;2,67
3609;World Series Baseball 2K3;XBox;2,59;1,83;1,94;0,08
3610;Shaun the Sheep;Nintendo DS;0,13;2,36;2,15;2,35
3611;Slayers;Super Nintendo;2,73;1,74;3,91;1,11
3612;TimeSplitters 2;GameBoy Color;2,41;0,16;1,79;1,23
3613;Colin McRae Rally 04;XBox;2,57;2,64;1,31;0,29
3614;Rayman Legends;XBox One;0,1;2;1,88;2,16
3615;Lunar: Silver Star Story Complete;PlayStation;2,19;1,56;0,24;1,98
3616;Wreckless: ThE YaKuza MisSiOns;XBox;2,54;1,49;1,82;0,01
3617;Just Dance 3;Nintendo Wii;1,79;2,66;2,34;1,49
3618;Gremlins;Atari 2600;2;0,82;0,87;0,19
3619;LEGO Dimensions;XBox 360;1,73;1,64;2,02;2,24
3620;Turok;XBox 360;1,38;2,82;1,71;3,24
3621;Dance Dance Revolution: Hottest Party 5;Nintendo Wii;1,81;2,3;1,83;2,48
3622;PGA European Tour;Nintendo 64;3,68;3,29;4,07;2,66
3623;MVP Baseball 2005;GameBoy Color;1,84;0,19;2,63;1,95
3624;Paperboy;Nintendo 64;3,41;3,6;3,35;3,1
3625;Diablo III;PlayStation 4;1,64;1,55;0,93;2,52
3626;Dragon Ball Z Hyper Dimension;Super Nintendo;2,37;2,03;4;1,54
3627;XS Airboat Racing;PlayStation;2,19;2,16;0,55;1,74
3628;NASCAR Thunder 2004;XBox;1,86;3,03;1,93;0,52
3629;Namco Museum Megamix;Nintendo Wii;2,02;2,23;2,39;1,51
3630;IHRA Drag Racing: Sportsman Edition;XBox;1,05;1,63;2,33;0,01
3631;Major Minor's Majestic March;Nintendo Wii;2,06;2,43;2,72;2,39
3632;MX vs. ATV Unleashed;XBox;1,48;2,41;3;0,15
3633;Frogger 2: Swampy's Revenge;PlayStation;2,64;2,72;0,01;2,75
3634;Go Play: Circus Star;Nintendo Wii;3,55;2,4;1,79;1,86
3635;Pro Yakyuu Family Stadium '88;Nintendo;3,09;2,73;0,02;0,1
3636;Skylanders: SuperChargers;XBox One;0,02;1,91;2,75;2,75
3637;Spyro Orange: The Cortex Conspiracy;GameBoy Advance;2,15;1,63;1,41;2,4
3638;Pirates of the Caribbean;XBox;2,17;2,53;1,79;0,15
3639;FIFA Street;XBox;2,35;1,17;1,5;0,18
3640;Psycho-Pass: Mandatory Happiness;PlayStation 4;1,85;1,74;0,65;1,95
3641;Metro: Last Light;PlayStation 4;1,89;2,67;2,25;2,04
3642;Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu;GameBoy Advance;1,73;1,96;1,25;1,04
3643;Goblin Commander: Unleash the Horde;GameBoy Color;1,64;0,27;2,21;2,66
3644;Beach Spikers: Virtua Beach Volleyball;GameBoy Color;1,67;0,2;2,17;2,28
3645;Rascal;PlayStation;2,23;1,96;0,08;2,03
3646;Sherlock Holmes: Crimes & Punishments;PlayStation 4;2,1;2,57;1,26;2,6
3647;Nickelodeon Party Blast;XBox;1,78;1,76;2,46;0,02
3648;NBA 2K14;PlayStation 4;2,11;2,08;1,84;1,98
3649;Hannah Montana;Nintendo DS;0,25;1,55;2,16;2,33
3650;Battle Engine Aquila;XBox;1,71;1,6;0,86;0,21
3651;Super Swing Golf;Nintendo Wii;2,45;2,54;2,51;1,7
3652;Galleon: Islands of Mystery;XBox;2,39;1,97;2,22;0,03
3653;Rollcage;PlayStation;1,37;1,15;0,36;2,29
3654;Ed, Edd n Eddy: Jawbreakers!;GameBoy Advance;0,94;1,8;1,78;1,8
3655;Mappy;Nintendo;4,13;3,77;0,05;0,17
3656;Shinseiki Evangelion: Koutetsu no Girlfriend;PlayStation;1,91;1,88;0,11;2,38
3657;Arthur! Ready to Race;PlayStation;1,44;1,7;0,24;1,93
3658;Rayman Raving Rabbids 2;Nintendo DS;0,05;2,62;1,83;1,92
3659;ESPN NFL Primetime 2002;XBox;3,13;1,74;2,68;0,04
3660;Universe at War: Earth Assault;XBox 360;2,71;1,53;1,45;2,08
3661;Blast Works: Build, Trade, Destroy;Nintendo Wii;1,43;2,52;2,38;2,51
3662;Kaidan Restaurant: Ura Menu 100-Sen;Nintendo DS;0,62;1,8;2,54;2,91
3663;Lost in Blue: Shipwrecked;Nintendo Wii;1,72;2,43;2,48;2,13
3664;Nintendogs;Nintendo DS;0,32;1,69;2,06;2,32
3665;Jikkyou Powerful Pro Baseball 2016;PlayStation 4;1,96;2,72;1,85;1,73
3666;Wii Music;Nintendo Wii;1,52;4,08;2,49;2,38
3667;Game de Hakken!! Tamagotchi 2;GameBoy;2,22;0,1;2,88;0,03
3668;LEGO Marvel Super Heroes;PlayStation 4;2,94;2,22;2,05;3,12
3669;Last Bronx;Sega Saturn;2,27;2,07;2,74;0,08
3670;Ice Age 2: The Meltdown;GameBoy Advance;2,09;2,21;3,05;2
3671;Hatsune Miku: Project Diva X;PlayStation 4;1,38;2,57;2,1;1,56
3672;Polly Pocket: Super Splash Island;GameBoy Advance;1,92;2,22;2,17;1,37
3673;Destiny;PlayStation 4;2,06;1,84;1,63;1,48
3674;Backyard Skateboarding 2006;GameBoy Advance;2,01;2,42;2,64;1,3
3675;Batman: Vengeance;GameBoy Color;1,94;0,18;2,88;2,21
3676;Assassin's Creed IV: Black Flag;PlayStation 4;2,48;1,62;1,38;2,31
3677;Romance of the Three Kingdoms IV: Wall of Fire;Super Nintendo;1,76;1,86;3,48;1,61
3678;Capcom vs. SNK 2 EO;XBox;2,04;2,07;1,3;0,05
3679;Twisted Edge Extreme Snowboarding;Nintendo 64;2,67;3,18;3,27;3
3680;An American Tail: Fievel's Gold Rush;GameBoy Advance;1,47;1,49;2,14;2
3681;Wing Arms;Sega Saturn;1,8;1,8;1,87;0,28
3682;The Sims 2: Pets;GameBoy Color;2,79;0,56;2,74;1,45
3683;WWE 2K16;XBox 360;2,16;2,45;2,21;2,49
3684;Virtual Pool: Tournament Edition;XBox;1,79;2,33;2,88;0,45
3685;Pirates PlundArrr;Nintendo Wii;2,24;2,22;1,68;1,72
3686;Olympic Hockey 98;Nintendo 64;4,5;3,6;3,04;3,72
3687;Naruto Shippuden: Ultimate Ninja Storm 4;XBox One;0,22;2;2,86;2,54
3688;Penny Racers;Nintendo 64;2,98;3,69;3,93;3,22
3689;Baseball;GameBoy;1,57;0,72;2,31;0,02
3690;Bahamut Lagoon;Super Nintendo;2,16;1,85;3,18;2,15
3691;Mary-Kate and Ashley: Sweet 16 - Licenced to Drive;GameBoy Color;2,19;0,13;2,63;1,87
3692;Highschool Terra Story;Sega Saturn;2,24;1,57;1,43;0,03
3693;Yars' Revenge;Atari 2600;2,08;0,95;0,44;0,63
3694;Dragon Warrior Monsters;GameBoy;2,19;0,04;1,44;0,01
3695;Kekkaishi: Kokubourou no Kage;Nintendo Wii;2,01;2,58;2,05;2,28
3696;ReCore;XBox One;0,07;2,26;1,28;2,36
3697;Saturn Bomberman;Sega Saturn;2,23;2,39;1,94;0,13
3698;Lost Planet 3;XBox 360;2,6;2,35;3,01;2,58
3699;Max Payne 2: The Fall of Max Payne;XBox;2,2;2,27;2,02;0,18
3700;DiRT 2;Nintendo Wii;1,81;2,18;3,43;2,06
3701;Battle Stadium D.O.N;GameBoy Color;1,08;0,02;1,66;2,66
3702;Bleach GC: Tasogare Ni Mamieru Shinigami;GameBoy Color;1,68;0,15;1,38;2,64
3703;Portal 2;XBox 360;1,68;2,08;1,85;2,09
3704;SoulCalibur V;XBox 360;1,61;1,96;2,57;2,38
3705;Rocksmith;XBox 360;1,95;2,56;1,78;2,42
3706;Speed;Nintendo Wii;2,22;2,8;2,59;2,54
3707;Saikyou Habu Shogi;Nintendo 64;2;2,86;2,95;3,07
3708;NBA Live 2000;Nintendo 64;3,36;3,24;3,31;2,65
3709;Medarot 2: Kabuto / Kuwagata Version;GameBoy;2,04;0,02;2,15;0,04
3710;Black & Bruised;GameBoy Color;2,21;1,45;2,5;2,1
3711;Mousetrap / Operation / Simon;GameBoy Advance;1,33;2,75;2,81;1,88
3712;J-League Excite Stage '96;Super Nintendo;1,69;1,1;3,16;1,92
3713;Triple Play 2000;Nintendo 64;3,37;2,69;3,29;3,27
3714;Disney Infinity 3.0;PlayStation 4;3,18;2,63;1,33;1,72
3715;Cory in the House;Nintendo DS;0,52;1,7;2,73;2,95
3716;Star Wars: The Force Unleashed II;XBox 360;1,72;2,13;2,8;2,66
3717;Super Mario Kart;Super Nintendo;1,89;1,98;3,01;1,06
3718;Cabela's Big Game Hunter: Hunting Party;XBox 360;1,46;1,22;1,82;2,56
3719;Dreamfall: The Longest Journey;XBox;1,57;2,66;1,46;0,04
3720;Pimp My Ride;XBox 360;2,31;2,32;1,64;2,87
3721;This War of Mine;PlayStation 4;2,45;2,03;1,25;2,15
3722;Burnout 2: Point of Impact;XBox;2,18;1,67;1,63;0,1
3723;Samurai Warriors 4;PlayStation 4;2,22;1,99;1,39;1,37
3724;Kirby's Block Ball;GameBoy;2,01;0,26;2,07;0,05
3725;J-League Pro Soccer Club wo Tsukurou!;Sega Saturn;1,11;1,8;1,82;0,31
3726;E.T.: The Extra Terrestrial;Atari 2600;1,48;0,38;1;0,69
3727;Jurassic: The Hunted;Nintendo Wii;1,46;1,77;2,24;2,51
3728;Twisted Metal III;PlayStation;2,82;1,89;0,04;2,36
3729;SPRay;Nintendo Wii;2,04;3,15;0,7;1,5
3730;Code R;Sega Saturn;1,86;1,19;1,34;0,37
3731;Nightmare Creatures;PlayStation;1,49;2,09;0,02;2,44
3732;Cabela's Dangerous Hunts 2;XBox;1,09;2,32;1,87;0,21
3733;Driven;GameBoy Color;2,15;0,04;3,18;1,71
3734;Zenses: Rainforest;Nintendo DS;0,13;1,91;2,79;2
3735;Silhouette Mirage;PlayStation;3,31;3,15;0,07;1,83
3736;Earth Defense Force 2017;XBox 360;2,09;2,05;2,53;1,33
3737;Gunship;PlayStation;2,4;2,39;0,29;2,1
3738;Capcom vs. SNK 2 EO;GameBoy Color;1,47;0,02;3,34;2,2
3739;Die Hard: Vendetta;GameBoy Color;2,7;0,33;1,9;2,19
3740;Resident Evil - Code: Veronica X;GameBoy Color;2,06;0,01;2,16;1,91
3741;Goemon's Great Adventure;Nintendo 64;2,69;3,58;3,31;3,71
3742;Scooby-Doo and the Cyber Chase;GameBoy Advance;1,37;3,11;2,81;1,53
3743;Disney Sports Skateboarding;GameBoy Color;2,97;0,39;1,61;2,77
3744;The Perfect Golf;PlayStation;2,37;1,53;0,02;2,51
3745;Nickelodeon Party Blast;GameBoy Color;3,11;0,08;2,22;1,58
3746;Futurama;XBox;2,08;1,44;2,14;0,36
3747;Onsei Kanjou Sokuteiki: Kokoro Scan;Nintendo DS;0,99;2,11;1,39;2,28
3748;Beatdown: Fists of Vengeance;XBox;2,16;2,39;2,33;0,03
3749;Disney's Aladdin;Super Nintendo;1,79;1,83;3,83;1,31
3750;Choujikuu Yousai Macross: Ai Oboete Imasu ka;Sega Saturn;1,96;2,34;1,94;1,02
3751;Rock N' Roll Racing;Super Nintendo;2,21;1,57;2,79;1,55
3752;Lotus Challenge;GameBoy Color;2,37;0,2;2,24;1,72
3753;Egg Mania: Eggstreme Madness;XBox;1,97;1,95;2,07;0,92
3754;Star Trek: Shattered Universe;XBox;2,27;2,15;2,58;0,02
3755;Final Doom;PlayStation;1,7;1,33;0,32;2,8
3756;Racing Lagoon;PlayStation;1,9;2,35;0,05;2,32
3757;Ogre Battle Series: Tactics Ogre;PlayStation;2,58;1,99;0,18;1,96
3758;Harry Potter and the Chamber of Secrets;XBox;2,54;2,13;3,49;0,2
3759;Barbie as The Island Princess;GameBoy Advance;2,4;2,06;3,11;1,89
3760;Universal Studios Theme Parks Adventure;GameBoy Color;2;0,14;1,5;2,22
3761;The King of Fighters '96;Sega Saturn;2,14;2,34;1,96;0,22
3762;Brothers: A Tale of Two Sons;XBox One;0,03;1,88;2,22;2
3763;Dino Dini's Kick Off Revival;PlayStation 4;2,42;2,15;1,11;2,46
3764;Aliens in the Attic;Nintendo Wii;1,97;0,94;2,7;1,76
3765;Action Bass;PlayStation;1,84;1,66;0,34;1,23
3766;Aliens in the Attic;Nintendo DS;0,06;1,93;2,35;2,17
3767;Bank Heist;Atari 2600;1,43;0,61;1,15;1
3768;X-Men vs. Street Fighter;Sega Saturn;1,07;1,37;2,09;0,03
3769;Power Pro Kun Pocket 1+2;GameBoy Advance;2,05;1,74;2,1;2,73
3770;Fantasia: Music Evolved;XBox One;0,02;1,32;1,48;2,2
3771;My Fun Facts Coach;Nintendo DS;0,03;2,27;1,8;2,63
3772;Mega Man X3;Super Nintendo;2,58;2,21;3,57;1,52
3773;Super Famista 4;Super Nintendo;1,86;1,86;3,89;1,85
3774;Marvel: Ultimate Alliance;XBox 360;2,81;2,39;1,46;2,49
3775;Pokemon Stadium;Nintendo 64;3,01;3,27;3,05;2,93
3776;Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS;Nintendo DS;0,09;1,15;2,04;2,18
3777;Call of Duty: Advanced Warfare;XBox One;0,03;2,55;1,84;2,31
3778;Smashing Drive;GameBoy Advance;1,97;2,24;2,54;1,91
3779;NBA Inside Drive 2002;XBox;2,2;1,53;2,06;0,1
3780;CSI: Deadly Intent - The Hidden Cases;Nintendo DS;0,03;2,04;2,02;2,67
3781;Frogger: Helmet Chaos;Nintendo DS;0,39;1,12;1,9;2,45
3782;Power Rangers: Time Force;GameBoy Advance;2,5;2,33;2,51;2,61
3783;Resident Evil 4;GameBoy Color;2,26;0,03;1,87;2,47
3784;Hasbro Family Game Night Fun Pack;XBox 360;2,27;2,17;1,6;3,93
3785;Crusaders of Might and Magic;PlayStation;2,55;2,48;0,13;2,52
3786;Cold War;XBox;1,69;1,29;1,38;0,11
3787;Super Mario World;Super Nintendo;2,09;2,04;3,57;0,32
3788;Yu-Gi-Oh! Forbidden Memories;PlayStation;2,4;2,35;0,49;2,27
3789;Shadowgate 64: Trials of the Four Towers;Nintendo 64;2,64;3,97;2,99;3,81
3790;Line Rider 2: Unbound;Nintendo DS;0,08;2,51;2,4;2,62
3791;Final Fantasy: Crystal Chronicles;GameBoy Color;2,22;0,03;2,48;2,17
3792;Ninja Warriors;Super Nintendo;1,45;1,65;2,98;1,69
3793;Jampack Winter 2000;PlayStation;2,74;1,91;0,13;2,49
3794;The Grim Adventures of Billy & Mandy;GameBoy Color;1,01;0,31;1,71;1,1
3795;Grabbed by the Ghoulies;XBox;1,93;3,03;1,85;0,06
3796;Dishonored;XBox One;0,09;2,86;2,2;2
3797;NCAA Football 2004;XBox;1,08;1,63;1,23;0,03
3798;Auto Destruct;PlayStation;1,51;2,15;0,64;2,76
3799;Persona 5;PlayStation 4;1,94;2,48;1,2;2,09
3800;NHL 2004;XBox;2,31;1,3;2,14;0,19
3801;The Golf Club;PlayStation 4;1,94;2,07;1,45;2,86
3802;NFL Fever 2002;XBox;1,89;1,68;2,19;0,03
3803;Spyro: A Hero's Tail;GameBoy Color;1,96;0,07;2,31;1,84
3804;Virus;Sega Saturn;1,91;1,15;1,88;0,14
3805;Littlest Pet Shop;Nintendo Wii;1,95;2,57;1,74;2,62
3806;The Suffering: Ties That Bind;XBox;2,62;1,52;2,33;0,4
3807;Prehistorik Man;GameBoy Advance;1,02;1,42;1,97;1,97
3808;Boktai 2: Solar Boy Django;GameBoy Advance;1,83;1,91;1,91;1,67
3809;Super Football;Atari 2600;2,49;0,74;1,12;0,88
3810;Tetrisphere;Nintendo 64;3,7;3,3;3,24;2,97
3811;Guinness World Records: The Videogame;Nintendo Wii;2,18;3,17;1,63;1,87
3812;Dragon Ball Z Super Gokuden: Kakusei-Hen;Super Nintendo;2,38;1,31;3,42;1,72
3813;Nicktoons Collection: Game Boy Advance Video Volume 3;GameBoy Advance;0,95;2,1;1,57;1,7
3814;NightCaster;XBox;2,5;2,62;2,59;0,18
3815;Namco Museum: Virtual Arcade;XBox 360;2,12;2,51;2,33;1,98
3816;Skylanders: Trap Team;PlayStation 4;2,88;2,09;1,64;2,4
3817;C.O.P.: The Recruit;Nintendo DS;0,1;0,96;2,57;2,64
3818;Raiders of the Lost Ark;Atari 2600;1,44;1,31;0,81;0,77
3819;Bella Sara;Nintendo DS;0,14;1,63;1,97;2,42
3820;WWF War Zone;Nintendo 64;2,47;3,64;3,35;2,95
3821;Grand Theft Auto V;XBox One;0,17;2,97;2,26;2,23
3822;Killer Instinct;Super Nintendo;1,33;1,6;3,61;0,92
3823;The King of Fighters NeoWave;XBox;2,55;2,66;1,32;0,14
3824;Tetris 2;Nintendo;3,26;3,26;0,08;0,03
3825;Dragon Ball Z: Sagas;GameBoy Color;2,24;0,05;2,42;2,22
3826;TimeSplitters: Future Perfect;XBox;2,36;2,54;2,29;0,2
3827;Shrek: Hassle at the Castle;GameBoy Advance;1,26;2,44;2,08;1,69
3828;Rabbids Invasion: The Interactive TV Show;XBox One;0,11;1,95;2,42;2,03
3829;Valentino Rossi: The Game;XBox One;0,16;2,18;1,67;2,08
3830;Grind Session;PlayStation;2,94;2,28;0,16;1,8
3831;Professor Layton and the Curious Village;Nintendo DS;0,67;1,92;1,62;2,33
3832;Spy Hunter 2;XBox;2,03;1,9;1,16;0,29
3833;Jawbreaker;Atari 2600;1,64;0,58;0,82;0,33
3834;Manhunt;XBox;1,71;2,25;1,92;0,5
3835;Dreamworks Madagascar Kartz;XBox 360;1,12;3,22;2,47;2,63
3836;J Stars Victory Vs.;PlayStation 4;1,49;1,39;0,87;2,59
3837;Michael Jackson: The Experience;XBox 360;2,04;1,69;1,27;2,96
3838;Dreamer Series: Pop Star;Nintendo DS;0,47;1,57;2,03;2,17
3839;Looney Tunes: Back in Action;GameBoy Color;1,09;0,27;2,65;2,68
3840;RealSports Baseball;Atari 2600;1,19;0,74;0,72;0,62
3841;Disney's Party;GameBoy Advance;2,95;2,4;2,26;2,22
3842;Tokyo Xtreme Racer;Sega Dreamcast;0,97;1,01;1,48;0,66
3843;LEGO The Hobbit;PlayStation 4;2,45;2,4;0,95;1,92
3844;Grooverider: Slot Car Thunder;XBox;1,68;1,73;2,99;0,34
3845;World Class Track Meet;Nintendo;3,63;2,9;0,02;0,03
3846;Tokimeki Mahjong Paradise: Koi no Tenpai Beat;Sega Saturn;1,57;2,15;1,73;0,21
3847;James Bond 007: Everything or Nothing;XBox;2,32;1,94;1,86;0,09
3848;Justice League: Chronicles;GameBoy Advance;2,02;1,81;2,76;2,38
3849;EA Sports UFC 2;XBox One;0,15;1,89;1,89;2,2
3850;Nights of Azure;PlayStation 4;1,59;2,08;0,48;2,23
3851;NBA ShootOut '97;PlayStation;2,16;2,82;0,07;2,23
3852;Sakura Taisen Hanagumi Tsuushin;Sega Saturn;1,99;1,96;1,5;0,06
3853;All-Star Baseball 2003;GameBoy Color;1,91;0,09;1,65;1,26
3854;Disruptor;PlayStation;2,56;1,01;0,17;1,92
3855;NFL Blitz 20-02;GameBoy Color;2,76;0,51;2,23;2,48
3856;Quantum Redshift;XBox;1,97;2,65;1,94;0,04
3857;Mario Bros.;Nintendo;3,8;2,88;0,02;0,18
3858;Tales of Destiny;PlayStation;1,64;2,87;0,45;1,94
3859;NHL 17;XBox One;0,24;1,59;3,09;1,5
3860;Knockout Kings;PlayStation;2,53;2,55;0,6;2,22
3861;Worms 3D;GameBoy Color;1,51;0,14;2,63;1,76
3862;Street Fighter Alpha 2;Super Nintendo;1,61;1,38;3,66;0,65
3863;MLB 15: The Show;PlayStation 4;1,04;2,77;2,19;2,21
3864;NHL Hitz 20-03;XBox;1,91;2,42;2,57;0,18
3865;Worms: WMD;PlayStation 4;1,78;2,92;0,62;2,3
3866;NASCAR Heat Evolution;XBox One;0,05;2,12;2,19;1,99
3867;Tak: The Great Juju Challenge;XBox;1,44;2,6;2,05;0,08
3868;Super Robot Taisen A;GameBoy Advance;1,27;2,4;1,07;2,64
3869;Life is Strange;XBox One;0,13;2,75;1,91;2,05
3870;Chopper Command;Atari 2600;1,68;0,84;1,07;0,84
3871;Tony Hawk's American Wasteland;GameBoy Color;2,68;0,02;1,54;3,06
3872;Doshin the Giant;GameBoy Color;2,24;0,09;2,28;1,56
3873;Wing Commander III: Heart of the Tiger;PlayStation;1,37;2,71;0,12;2,24
3874;Virtua Fighter 2;Sega Saturn;2,09;1,86;2,13;0,77
3875;Singstar: Ultimate Party;PlayStation 4;2,16;1,47;1,76;2,48
3876;Trivial Pursuit unhinged;XBox;2,14;2,07;2,26;0,02
3877;Harry Potter: Quidditch World Cup;GameBoy Color;2,03;0,3;2,1;1,5
3878;Snowboard Kids 2;Nintendo 64;3,5;2,74;3,58;3,17
3879;RalliSport Challenge;XBox;1,86;2,39;1,09;0,17
3880;Treasure Chase;Nintendo DS;0,4;2,15;1,83;1,97
3881;Are You Smarter Than a 5th Grader? Back to School;Nintendo Wii;2,64;2,83;2,69;1,9
3882;Divinity: Original Sin;XBox One;0,1;2,44;2,23;2,3
3883;Ford Racing 3;XBox;1,87;3,12;1,48;0,16
3884;Derby Stallion 99;PlayStation;1,92;1,75;0,1;2,32
3885;Disney's The Lion King;Super Nintendo;1,9;0,4;3,23;1,7
3886;Cabela's Trophy Bucks;XBox 360;1,77;2,71;2,62;1,7
3887;Warriors Orochi 3;PlayStation 4;1,51;1,7;2,15;2,04
3888;Homefront: The Revolution;PlayStation 4;1,63;1,48;1,75;2,28
3889;NBA 2K13;XBox 360;1,96;1,91;2,03;2,24
3890;PoPoLoCrois Monogatari II;PlayStation;1,81;2,1;0,01;2,42
3891;Ford Racing;PlayStation;0,96;2,4;0,28;1,76
3892;Doom (2016);XBox One;0,01;2,29;1,87;2,09
3893;Space Jam;PlayStation;1,86;2,76;0,47;2,83
3894;San-X Land: Theme Park de Asobou!;Nintendo DS;0,06;1,72;2,67;1,77
3895;Rad Racer;Nintendo;3,06;2,66;0,09;0,11
3896;Thoroughbred Breeder;Super Nintendo;1,64;1,42;3,59;1,23
3897;DS Bimoji Training;Nintendo DS;0,04;1,86;1,03;2,44
3898;Trick DS-han: Kakushi Kami no Sumukan;Nintendo DS;0,47;2,47;2,34;1,92
3899;The Legend of Zelda: Majora's Mask;Nintendo 64;2,73;3,28;2,92;2,87
3900;The Mysterious Case of Dr. Jekyll and Mr. Hyde;Nintendo DS;0,22;3,01;1,4;2
3901;Professor Heinz Wolff's Gravity;Nintendo DS;0,07;2,87;2,73;1,79
3902;San-X: Chara Sagashi Land;Nintendo DS;0,24;2,28;2,74;2,4
